(56,505,0)
(116,503,0)
(172,502,0)
(228,500,0)
(284,499,0)
(340,497,0)
(396,496,0)
(452,494,0)
(515,493,0)
(571,491,0)
(627,490,0)
(683,489,0)
(758,487,0)
(816,485,0)
(872,484,0)
(928,482,0)
(984,481,0)
(1040,480,0)
(1096,478,0)
(1152,477,0)
(1207,475,0)
(1263,474,0)
(1319,473,0)
(1375,471,0)
(1431,470,0)
(1487,468,0)
(1543,467,0)
(1599,465,0)
(1655,464,0)
(1711,463,0)
(1767,461,0)
(1823,460,0)
(1897,458,0)
(1953,457,0)
(2009,455,0)
(2065,454,0)
(2138,452,0)
(2197,450,0)
(2253,449,0)
(2312,447,0)
(2368,446,0)
(2424,445,0)
(2499,443,0)
(2557,441,0)
(2613,440,0)
(2669,438,0)
(2725,437,0)
(2781,436,0)
(2837,434,0)
(2893,433,0)
(2953,431,0)
(3008,430,0)
(3064,428,0)
(3120,427,0)
(3176,426,0)
(3232,424,0)
(3288,423,0)
(3344,421,0)
(3400,420,0)
(3456,418,0)
(3511,417,0)
(3567,416,0)
(3623,414,0)
(3679,413,0)
(3735,411,0)
(3791,410,0)
(3847,409,0)
(3903,407,0)
(3959,406,0)
(4015,404,0)
(4071,403,0)
(4129,401,0)
(4185,400,0)
(4241,399,0)
(4297,397,0)
(4353,396,0)
(4413,394,0)
(4471,393,0)
(4522,392,0)
(4576,390,0)
(4639,389,0)
(4693,387,0)
(4755,386,0)
(4811,384,0)
(4867,383,0)
(4923,381,0)
(4980,380,0)
(5036,379,0)
(5095,377,0)
(5151,376,0)
(5225,374,0)
(5285,372,0)
(5342,371,0)
(5404,369,0)
(5462,368,0)
(5523,366,0)
(5579,365,0)
(5635,363,0)
(5691,362,0)
(5747,361,0)
(5803,359,0)
(5859,358,0)
(5915,356,0)
(5971,355,0)
(6027,353,0)
(6083,352,0)
(6139,351,0)
(6213,349,0)
(6267,347,0)
(6323,346,0)
(6379,345,0)
(6435,343,0)
(6491,342,0)
(6547,340,0)
(6607,339,0)
(6667,337,0)
(6723,336,0)
(6778,334,0)
(6834,333,0)
(6890,332,0)
(6946,330,0)
(7002,329,0)
(7058,327,0)
(7119,326,0)
(7174,324,0)
(7231,323,0)
(7291,321,0)
(7344,320,0)
(7399,319,0)
(7455,317,0)
(7511,316,0)
(7567,314,0)
(7627,313,0)
(7683,312,0)
(7734,310,0)
(7793,309,0)
(7864,307,0)
(7920,306,0)
(7975,304,0)
(8031,303,0)
(8105,301,0)
(8160,299,0)
(8215,298,0)
(8271,297,0)
(8326,295,0)
(8382,294,0)
(8438,292,0)
(8498,291,0)
(8556,289,0)
(8619,288,0)
(8679,286,0)
(8737,285,0)
(8793,283,0)
(8849,282,0)
(8911,280,0)
(8966,279,0)
(9025,278,0)
(9088,276,0)
(9147,274,0)
(9203,273,0)
(9261,272,0)
(9335,270,0)
(9402,268,0)
(9470,266,0)
(9532,265,0)
(9600,263,0)
(9656,262,0)
(9728,260,0)
(9784,258,0)
(9842,257,0)
(9898,255,0)
(9954,254,0)
(10011,253,0)
(10084,251,0)
(10140,249,0)
(10196,248,0)
(10252,247,0)
(10308,245,0)
(10365,244,0)
(10424,242,0)
(10481,241,0)
(10540,239,0)
(10597,238,0)
(10656,236,0)
(10716,235,0)
(10771,233,0)
(10827,232,0)
(10883,231,0)
(10960,229,0)
(11012,227,0)
(11066,226,0)
(11128,224,0)
(11192,223,0)
(11255,221,0)
(11314,220,0)
(11374,218,0)
(11430,217,0)
(11484,215,0)
(11543,214,0)
(11606,212,0)
(11664,211,0)
(11727,209,0)
(11783,208,0)
(11858,206,0)
(11930,204,0)
(11981,203,0)
(12037,201,0)
(12098,200,0)
(12157,198,0)
(12216,197,0)
(12272,195,0)
(12328,194,0)
(12384,193,0)
(12457,191,0)
(12512,189,0)
(12576,188,0)
(12632,186,0)
(12688,185,0)
(12744,183,0)
(12800,182,0)
(12861,181,0)
(12925,179,0)
(12982,177,0)
(13040,176,0)
(13119,174,0)
(13178,173,0)
(13236,171,0)
(13292,170,0)
(13356,168,0)
(13415,167,0)
(13481,165,0)
(13550,163,0)
(13612,162,0)
(13666,160,0)
(13728,159,0)
(13782,157,0)
(13844,156,0)
(13900,154,0)
(13958,153,0)
(14012,151,0)
(14068,150,0)
(14127,149,0)
(14186,147,0)
(14244,146,0)
(14300,144,0)
(14360,143,0)
(14416,141,0)
(14472,140,0)
(14529,138,0)
(14587,137,0)
(14643,135,0)
(14699,134,0)
(14755,133,0)
(14814,131,0)
(14876,130,0)
(14930,128,0)
(14992,127,0)
(15046,125,0)
(15108,124,0)
(15164,122,0)
(15220,121,0)
(15276,119,0)
(15336,118,0)
(15401,116,0)
(15459,115,0)
(15518,113,0)
(15577,112,0)
(15633,110,0)
(15689,109,0)
(15746,108,0)
(15806,106,0)
(15863,105,0)
(15923,103,0)
(15982,102,0)
(16045,100,0)
(16108,98,0)
(16166,97,0)
(16228,95,0)
(16287,94,0)
(16350,92,0)
(16407,91,0)
(16474,89,0)
(16530,88,0)
(16588,86,0)
(16647,85,0)
(16711,83,0)
(16769,82,0)
(16832,80,0)
(16891,79,0)
(16951,77,0)
(17007,76,0)
(17076,74,0)
(17131,73,0)
(17189,71,0)
(17245,70,0)
(17317,68,0)
(17373,66,0)
(17429,65,0)
(17486,64,0)
(17542,62,0)
(17601,61,0)
(17675,59,0)
(17730,57,0)
(17786,56,0)
(17842,55,0)
(17898,53,0)
(17956,52,0)
